label,none,SERRF
Allantoin (157.0 / 114.0),0.152110496579986,0.0442240019834733
Urate (167.0 / 124.0),0.339927980703249,0.0322750880824382
Shikimic Acid (173.0 / 93.0),0.184710710056616,0.0206872559287953
Aconitate (173.0 / 129.0),0.0926419502769925,0.0347502945542309
Citrulline (174.0 / 131.0),0.503564409009926,0.0272732150537935
Hyppuric Acid (178.0 / 134.0),0.225394697074058,0.0383116850965266
Glucose (179.0 / 89.0),0.198771488347625,0.00836746323685983
Inositol (179.1 / 81.0),0.631195193313588,0.0456114291702235
Homovanilate (181.0 / 137.0),0.354341227940189,0.0373175934138339
13C-Glucose (185.0 / 92.0),0.242332868518323,0.0159414599125888
Kynurenate (188.0 / 144.0),0.094276666783694,0.0963841577698582
Glucoronate (193.0 / 113.0),0.560773426395588,0.0659827818466612
Erythrose (199.0 / 97.0),0.548420360651928,0.0438153169476283
Pentothenate (218.1 / 88.0),0.157156647338806,0.0562464588045915
Cystathionine (221.1 / 134.0),0.455547615363535,0.061585004938145
Melatonin (231.1 / 172.3),0.119589268338957,0.0455556226660753
Biotin (243.1 / 200.0),0.354866532954,0.0404167793034622
Pyridoxal-5-P (246.0 / 96.9),0.168499754162618,0.0920706477703158
G1P/G6P/F6P/F1P (259.0 / 78.8),0.365509643384623,0.0242340220706645
Linolenic Acid (279.1 / 261.0),0.207160983508895,0.0303618329416319
F16BP/F26BP/G16BP (339.0 / 79.0),0.479609985887926,0.0778863929111671
IMP (347.0 / 79.0),1.27383495826255,0.00832987870892572
PGE (351.2 / 315.3),0.698257835479345,0.0128005610392565
Chenodeoxycholate (391.0 / 74.0),0.504362494593905,0.0669190988498458
ADP (426.0 / 134.0),0,0
GDP (442.0 / 159.0),0.380356617682428,0.0262580664027535
Glycochenodeoxycholate (448.3 / 74.0),0.352476185036019,0.0152742516912735
Adenylosuccinate (462.1 / 79.0),0.438763117209785,0.0307605109242183
Glycocholate (464.3 / 74.0),0.283204832235473,0.0258926814727262
GTP (522.0 / 159.0),0.201360797693674,0.0493339766938134
